Company	Activity sector	Country	Datasets	Occurrence records	Data citations
https://www.gbif.org/publisher/ca11748e-a30a-4252-930f-bdb017e942c5[AGBAR]	Consulting	Spain	1	103424	30
https://www.gbif.org/publisher/6d1beb45-43bc-499a-85a0-f06f67e81591[Aguas de Bogotá S.A. E.S.P.]	Utilities	Colombia	1	13280	40
https://www.gbif.org/publisher/eea64f26-8fd5-49fb-be7e-a1d4cfc051ee[Aïgos SAS]	Consulting	Colombia	3	2404	30
https://www.gbif.org/publisher/620e3d31-d433-4154-9cf6-232a6a6b5e3f[Akvaplan-niva]	Consulting	Norway	2	495	7
https://www.gbif.org/publisher/b5904aaf-02c7-4ff3-85a6-0f528dbb632e[Anadarko Colombia Company]	Energy	Colombia	7	1178	33
https://www.gbif.org/publisher/df604473-66f0-444d-94c4-22795f268afe[AngloGold Ashanti Colombia S.A.S]	Materials	Colombia	5	87019	60
https://www.gbif.org/publisher/f2429cd1-4d45-475c-852a-892024cb4aba[ARC - Arctic Research and Consulting DA]	Consulting	Norway	1	8914	51
https://www.gbif.org/publisher/612c9b58-e739-4af4-a038-4b3901fa5649[Asplan Viak AS]	Engineering	Norway	14	3775	294
https://www.gbif.org/publisher/e62a5313-e771-4c81-b6d1-cba6e4085635[Aures Bajo]	Energy	Colombia	2	368	8
https://www.gbif.org/publisher/83500190-21b6-445c-ab2c-c0565fc0afce[Awake Travel]	Consulting	Colombia	1	8644	4
https://www.gbif.org/publisher/b2c1126d-e3b4-4619-9f94-b236dcc0a947[Biofokus]	Consulting	Norway	1	591676	782
https://www.gbif.org/publisher/a41046bd-eaca-49bf-919b-419062ffc2a2[Biolog J.B. Jordal AS]	Consulting	Norway	1	177814	466
https://www.gbif.org/publisher/8e6bc843-c1b4-4b10-b546-881f06049004[Biotica Consultores Ltda]	Consulting	Colombia	4	1318	104
https://www.gbif.org/publisher/14fb9c57-68a5-4870-b434-5355df7a9c3c[Carbones del Cerrejón Limited]	Materials	Colombia	9	145889	122
https://www.gbif.org/publisher/4d14137b-ce2c-4111-98a9-0078f5d53237[Carsa Gold S.A.S]	Mining	Colombia	1	4159	21
https://www.gbif.org/publisher/0fd86a13-3d0d-4d6e-b809-2811706f35d6[Celsia Colombia S.A. E.S.P.]	Energy	Colombia	5	2290	37
https://www.gbif.org/publisher/bbf93124-1cc2-4cac-a101-b4412dd04e2a[Central Hidroeléctrica de Caldas S.A E.S.P]	Energy	Colombia	1	1137	11
https://www.gbif.org/publisher/1a4f4e64-eb3d-42c3-a359-1be3869b3a20[Cerro Matoso S.A]	Materials	Colombia	3	19309	87
https://www.gbif.org/publisher/d49251f5-379f-43b4-b747-9d8240334fa5[Chevron Australia]	Energy	Australia	1	2048	42
https://www.gbif.org/publisher/03a8bc52-9c2e-4aee-8dd7-9b4d279e4960[Compensation International Progress S.A. -Ciprogress Greenlife-]	Industrials	Colombia	1	820	34
https://www.gbif.org/publisher/db41c5c6-d34a-4d27-8ac9-0c8d085393f7[Concesión La Pintada S.A.S]	Industrials	Colombia	2	0	0
https://www.gbif.org/publisher/d3c29fed-bcac-4f84-8d3d-f4b7f76fdc8e[Construcciones y Ambiente Conambiente S.A.S]	Consulting	Colombia	3	273	21
https://www.gbif.org/publisher/c5245889-c63d-48fa-ae4b-90ddd74f1d2d[Cunaguaro Consultores LTDA]	Consulting	Colombia	1	657	21
https://www.gbif.org/publisher/efc5d3c7-2fec-42dd-85de-078a73973bd1[DNV]	Energy	Norway	1	2372473	33
https://www.gbif.org/publisher/fac91b96-c087-460f-ab01-b808f341c2f5[Ecofact]	Consulting	Norway	3	12508	323
https://www.gbif.org/publisher/3ca2ab24-7f53-458e-b4ad-6e88ea6d9628[Econativa Consultores SpA]	Consulting	Chile	1	3	4
https://www.gbif.org/publisher/d5ef14a1-5177-4547-9ce2-46d84a4214eb[Ecopetrol S.A.]	Energy	Colombia	26	194633	41
https://www.gbif.org/publisher/e5150835-f502-424c-b470-24dd496b1b18[EDP - Energias de Portugal]	Energy	Portugal	98	129939	264
https://www.gbif.org/publisher/d42b7e5d-a3e5-4fc2-8b3d-105336d70898[Empresas Públicas de Medellín E.S.P.]	Energy	Colombia	32	2120802	56
https://www.gbif.org/publisher/f442f96e-2017-4cf5-b19f-1f3320ae7577[Enel Colombia]	Energy	Colombia	11	28778	11
https://www.gbif.org/publisher/d98d7029-8cb7-44c2-88af-52988adc3a62[Faun Naturforvaltning AS]	Consulting	Norway	1	3788	295
https://www.gbif.org/publisher/37c1c493-782c-4f53-914d-b1f66cdcf61c[Federación Nacional de Cacaoteros]	Agriculture	Colombia	1	17	8
https://www.gbif.org/publisher/fe602f47-b553-4291-b6e5-197b9837e167[Federación Nacional de Cafeteros de Colombia]	Agriculture	Colombia	6	26804	291
https://www.gbif.org/publisher/2977895d-3ce2-4fb9-b62e-a775c8fd9304[Grupo Energía Bogotá]	Energy	Colombia	1	61111	58
https://www.gbif.org/publisher/90d2e455-c279-4bf1-ba87-806495641e18[Hatovial S.A.S]	Engineering	Colombia	1	1898	95
https://www.gbif.org/publisher/67c63221-0c74-4c18-97f9-e2b2acb739ce[INERCO Consultoría Colombia]	Consulting	Colombia	1	1090	104
https://www.gbif.org/publisher/04ce62dd-30ec-4d98-8b30-b09cafc3ac38[Isagen S.A. E.S.P.]	Energy	Colombia	12	41635	233
https://www.gbif.org/publisher/2d7ea901-0128-4a7a-8207-425020c1fd99[LafargeHolcim Spain]	Mining	Spain	2	35	21
https://www.gbif.org/publisher/54eb018e-54d8-49cc-b98b-37733bb70028[Mineros Aluvial S.A.S. BIC]	Mining	Colombia	1	7307	6
https://www.gbif.org/publisher/9a21807b-b9c5-4071-b393-764f3cd58abc[Moam Monitoreos Ambientales S.A.S]	Consulting	Colombia	1	1781	32
[Monitoramento fauna e flora Mineração Vale Verde do Brasil Ltda.](https://www.gbif.org/dataset/d0a90634-21fb-4c76-9081-98bf3930ad7c)	Materials	Brazil	1	299	59
https://www.gbif.org/publisher/359ba517-ca03-46dd-9583-d2be73085c2f[Multiconsult]	Consulting	Norway	1	308	106
https://www.gbif.org/publisher/99c6eaae-f15b-4656-a600-d0c50044962e[NaturRestaurering AS]	Consulting	Norway	8	13852	155
https://www.gbif.org/publisher/52bd9c22-340b-480d-b414-73db37cd9379[Navantia, S.A.]	Industrials	Spain	6	823	8
https://www.gbif.org/publisher/a1648ebf-7363-4c27-beb0-23271087220f[NNI Resources AS]	Consulting	Norway	2	3116	73
https://www.gbif.org/publisher/4e8fae15-2ca7-4493-8c57-573194d29c0f[Nocturne Environmental Surveyors Ltd]	Consulting	United Kingdom of Great Britain and Northern Ireland	1	32	9
https://www.gbif.org/publisher/c3da1f49-b2c8-4751-b72f-28855546ec4c[Oleoducto Bicentenario]	Energy	Colombia	3	2074	177
https://www.gbif.org/publisher/9a408a2b-6bbb-4c95-80d9-0dce1fba1c00[Pierre Fabre]	Consumer Staples	France	20	4049	58
https://www.gbif.org/publisher/dbc2ab56-d499-403c-8db5-c1a49cd0b75f[Promigas S.A E.S.P]	Energy	Colombia	9	175837	143
https://www.gbif.org/publisher/815809f1-e6e6-44df-b3fd-b17a9d87eada[Regelink Ecology & Landscape]	Consulting	Netherlands	1	157976	63
https://www.gbif.org/publisher/80e15a76-70e8-417d-9111-b2e9e0dd8f18[Rådgivende Biologer]	Consulting	Norway	5	15214	265
https://www.gbif.org/publisher/2c542862-b9dd-40fc-8260-fb434997efa7[Stratos Consultoría Geológica]	Consulting	Colombia	2	1084	22
https://www.gbif.org/publisher/c4444b2c-6b07-40c2-8474-6556a195cd40[SWECO Norge AS]	Engineering	Norway	1	1139	276
https://www.gbif.org/publisher/f5db868f-e5bf-4208-bd9d-d4063ae1c825[TERRASOS]	Consulting	Colombia	9	24817	143
https://www.gbif.org/publisher/728e3362-3063-4a43-a6cf-71d61b50025b[TotalEnergies]	Energy	France	14	22232	54
